Representation,Deleted_Block,Metal,Mean_Delta_Recall
FD,1,Fe,0.11666666666666667
FD,1,Zn,-0.027777777777777776
FD,1,Cu,-0.024074074074074078
FD,1,Cr,0.0
FD,1,Co,0.15740740740740738
FD,1,Ni,0.003703703703703703
FD,1,Mn,0.1574074074074074
FD,1,Pb,-0.040740740740740744
FD,1,Cd,-0.016666666666666663
FD,2,Fe,0.0587962962962963
FD,2,Zn,0.0
FD,2,Cu,-0.07268518518518519
FD,2,Cr,0.005555555555555554
FD,2,Co,0.19305555555555554
FD,2,Ni,0.012499999999999999
FD,2,Mn,0.13194444444444445
FD,2,Pb,-0.03611111111111112
FD,2,Cd,0.03148148148148148
FD,3,Fe,0.12731481481481483
FD,3,Zn,0.018518518518518517
FD,3,Cu,-0.08796296296296297
FD,3,Cr,0.0625
FD,3,Co,0.27777777777777785
FD,3,Ni,-0.009259259259259264
FD,3,Mn,0.125
FD,3,Pb,0.08055555555555555
FD,3,Cd,0.041666666666666664
FD,4,Fe,-0.012962962962962964
FD,4,Zn,0.0462962962962963
FD,4,Cu,-0.09537037037037038
FD,4,Cr,0.005555555555555554
FD,4,Co,0.039351851851851846
FD,4,Ni,-0.0018518518518518576
FD,4,Mn,0.05694444444444445
FD,4,Pb,-0.05462962962962963
FD,4,Cd,0.04675925925925926
FD,5,Fe,0.058796296296296284
FD,5,Zn,-0.013888888888888888
FD,5,Cu,-0.0055555555555555575
FD,5,Cr,0.014814814814814812
FD,5,Co,0.16296296296296295
FD,5,Ni,0.0032407407407407385
FD,5,Mn,0.10185185185185186
FD,5,Pb,-0.07314814814814814
FD,5,Cd,0.009722222222222222
FD,6,Fe,0.018518518518518517
FD,6,Zn,-0.01851851851851852
FD,6,Cu,-0.0032407407407407415
FD,6,Cr,0.0
FD,6,Co,-0.011574074074074075
FD,6,Ni,-0.0625
FD,6,Mn,0.22268518518518515
FD,6,Pb,-0.0212962962962963
FD,6,Cd,-0.055555555555555546
FD,7,Fe,0.024074074074074067
FD,7,Zn,0.009259259259259259
FD,7,Cu,-0.04583333333333334
FD,7,Cr,-0.0037037037037037043
FD,7,Co,0.09537037037037038
FD,7,Ni,0.012500000000000004
FD,7,Mn,0.04490740740740741
FD,7,Pb,-0.05925925925925926
FD,7,Cd,-0.023148148148148147
FD,8,Fe,0.1435185185185185
FD,8,Zn,0.013888888888888888
FD,8,Cu,-0.0009259259259259226
FD,8,Cr,-0.027777777777777776
