Representation,Metal,DeleteBlock_Min_MeanDelta,DeleteBlock_Max_MeanDelta,DeleteBlock_Median_MeanDelta,Positive_Deletes,Zero_Deletes,Negative_Deletes
FD,Fe,-0.012962962962962964,0.1435185185185185,0.05138888888888889,9,0,1
FD,Zn,-0.027777777777777776,0.06481481481481481,0.00833333333333333,6,1,3
FD,Cu,-0.09537037037037038,-0.0009259259259259226,-0.05694444444444445,0,0,10
FD,Cr,-0.027777777777777776,0.0625,0.0,4,4,2
FD,Co,-0.011574074074074075,0.27777777777777785,0.12453703703703704,9,0,1
FD,Ni,-0.0625,0.034722222222222224,0.0034722222222222207,6,0,4
FD,Mn,0.04490740740740741,0.2916666666666667,0.11666666666666667,10,0,0
FD,Pb,-0.07314814814814814,0.08055555555555555,-0.03842592592592593,2,0,8
FD,Cd,-0.055555555555555546,0.04675925925925926,0.003703703703703703,5,0,5
logHF,Fe,-0.0037037037037037073,0.12731481481481483,0.02939814814814815,5,1,4
logHF,Zn,-0.027777777777777776,0.06481481481481481,0.00833333333333333,6,1,3
logHF,Cu,-0.09537037037037038,-0.0009259259259259226,-0.05694444444444445,0,0,10
logHF,Cr,-0.03333333333333334,0.0625,0.002777777777777777,5,1,4
logHF,Co,-0.011574074074074075,0.27777777777777785,0.13263888888888886,9,0,1
logHF,Ni,-0.05555555555555555,0.034722222222222224,0.007870370370370371,6,0,4
logHF,Mn,0.04490740740740741,0.2916666666666667,0.1189814814814815,10,0,0
logHF,Pb,-0.07314814814814814,0.08055555555555555,-0.03842592592592593,2,0,8
logHF,Cd,-0.027777777777777766,0.04675925925925926,0.0060185185185185185,6,0,4
