Representation,Metal,Configuration,R2,Block_MAE,Recall_k11,Hits_k11,High_n,Budget_k
FD,Fe,F,0.03283064541809322,0.1747061586541614,0.0,0,11,11
FD,Zn,F,0.31278092250176615,0.1041081179724559,0.7272727272727273,8,11,11
FD,Cu,F,0.3520117437178033,0.1333343975130153,0.6363636363636364,7,11,11
FD,Cr,F,-0.02856832747863991,0.1338504035764727,0.18181818181818182,2,11,11
FD,Co,F,0.09840052872860328,0.07004821121301154,0.2727272727272727,3,11,11
FD,Ni,F,0.20379502624439627,0.07676967268996554,0.36363636363636365,4,11,11
FD,Mn,F,-0.018583364487681164,0.13872979600398078,0.0,0,11,11
FD,Pb,F,0.3017789802235227,0.09167069367683706,0.6363636363636364,7,11,11
FD,Cd,F,-0.14410297715857734,0.2719506052487179,0.09090909090909091,1,11,11
FD,Fe,C,0.2750859296650825,0.16006464661242106,0.18181818181818182,2,11,11
FD,Zn,C,0.0012011969724425864,0.12609740011458956,0.36363636363636365,4,11,11
FD,Cu,C,-0.09615159534485862,0.1704568313645132,0.18181818181818182,2,11,11
FD,Cr,C,0.22988724884455902,0.10882953100018807,0.36363636363636365,4,11,11
FD,Co,C,0.2539827357657213,0.06209113323473734,0.36363636363636365,4,11,11
FD,Ni,C,0.34316544533295834,0.06804819555498745,0.45454545454545453,5,11,11
FD,Mn,C,0.28417760742883524,0.13691399248862518,0.18181818181818182,2,11,11
FD,Pb,C,-0.003976213073499046,0.11486665497685145,0.36363636363636365,4,11,11
FD,Cd,C,-0.13808704882889478,0.27488735862421054,0.0,0,11,11
FD,Fe,Fν,0.05638967447714016,0.1655189925289937,0.2727272727272727,3,11,11
FD,Zn,Fν,0.44356901113581315,0.11291694501021513,0.6363636363636364,7,11,11
FD,Cu,Fν,0.26886466390676245,0.13954097825633746,0.5454545454545454,6,11,11
FD,Cr,Fν,-0.12459292167144898,0.13882394128317527,0.09090909090909091,1,11,11
FD,Co,Fν,0.23734667585774627,0.06621573977210118,0.45454545454545453,5,11,11
FD,Ni,Fν,0.21200714127197928,0.07541483957059432,0.45454545454545453,5,11,11
FD,Mn,Fν,0.21114895597196304,0.12281717361202024,0.2727272727272727,3,11,11
FD,Pb,Fν,0.20679795764420883,0.09734103452197115,0.45454545454545453,5,11,11
FD,Cd,Fν,-0.30486509324615163,0.28887028701978545,0.0,0,11,11
FD,Fe,Cν,0.22959639400494813,0.1539860815028065,0.36363636363636365,4,11,11
FD,Zn,Cν,0.08520943839296036,0.12655185556069076,0.45454545454545453,5,11,11
FD,Cu,Cν,-0.07110734934227536,0.17078294273522784,0.18181818181818182,2,11,11
FD,Cr,Cν,0.34348052775107885,0.09466061350480724,0.36363636363636365,4,11,11
FD,Co,Cν,0.13169090192948163,0.06190621904677692,0.5454545454545454,6,11,11
FD,Ni,Cν,0.33054685630661507,0.06922800313102538,0.6363636363636364,7,11,11
FD,Mn,Cν,0.30037478211454305,0.13256796476136076,0.5454545454545454,6,11,11
FD,Pb,Cν,-0.04140510869750691,0.11813447646010537,0.2727272727272727,3,11,11
FD,Cd,Cν,-0.3319189043294488,0.2801562922648473,0.09090909090909091,1,11,11
FD,Fe,FC,0.2607039075929898,0.16477530548458788,0.18181818181818182,2,11,11
FD,Zn,FC,0.3606965759786138,0.10462994120481453,0.6363636363636364,7,11,11
FD,Cu,FC,0.4875018136620417,0.12133750009875093,0.7272727272727273,8,11,11
FD,Cr,FC,0.1896677382295292,0.11096624811727782,0.45454545454545453,5,11,11
FD,Co,FC,0.1905657081566029,0.0647471224771557,0.36363636363636365,4,11,11
FD,Ni,FC,0.32278712124661724,0.0697075485637493,0.45454545454545453,5,11,11
FD,Mn,FC,0.4054977418187876,0.11618267329034075,0.45454545454545453,5,11,11
FD,Pb,FC,0.3120474451077506,0.09299063782482539,0.5454545454545454,6,11,11
FD,Cd,FC,-0.2661515663067877,0.28453894057890483,0.09090909090909091,1,11,11
