Metal,Configuration,FD_R2,logHF_R2,Delta_R2_logHF_minus_FD,FD_BlockMAE,logHF_BlockMAE,Delta_BlockMAE_logHF_minus_FD,FD_Hits_k11,logHF_Hits_k11
Fe,Fν,0.05638967447714016,0.054038735460519405,-0.0023509390166207567,0.1655189925289937,0.1659761510926728,0.0004571585636790887,3,3
Fe,Cν,0.22959639400494813,0.24244071758704488,0.01284432358209675,0.1539860815028065,0.15330242781515108,-0.0006836536876554111,4,5
Zn,Fν,0.44356901113581315,0.44408809751167744,0.0005190863758642861,0.11291694501021513,0.11277504152774738,-0.0001419034824677451,7,7
Zn,Cν,0.08520943839296036,0.092645561462529,0.007436123069568645,0.12655185556069076,0.1265492631232347,-2.592437456067076e-06,5,5
Cu,Fν,0.26886466390676245,0.26902746409841505,0.00016280019165260118,0.13954097825633746,0.13946994986106914,-7.102839526831883e-05,6,6
Cu,Cν,-0.07110734934227536,-0.06062783151403828,0.010479517828237084,0.17078294273522784,0.1705615189890764,-0.00022142374615144456,2,2
Cr,Fν,-0.12459292167144898,-0.12441394324280375,0.00017897842864522673,0.13882394128317527,0.13885310168882564,2.91604056503747e-05,1,1
Cr,Cν,0.34348052775107885,0.3506206754565858,0.007140147705506972,0.09466061350480724,0.09441600313789758,-0.00024461036690966165,4,4
Co,Fν,0.23734667585774627,0.2346238977187295,-0.0027227781390167793,0.06621573977210118,0.06626661769342163,5.087792132044133e-05,5,5
Co,Cν,0.13169090192948163,0.1484050455128445,0.016714143583362873,0.06190621904677692,0.061697141391890864,-0.00020907765488605706,6,6
Ni,Fν,0.21200714127197928,0.21015410167079462,-0.0018530396011846584,0.07541483957059432,0.07549613629936798,8.129672877366101e-05,5,5
Ni,Cν,0.33054685630661507,0.3343150931577945,0.0037682368511794406,0.06922800313102538,0.06919020155586825,-3.7801575157134226e-05,7,7
Mn,Fν,0.21114895597196304,0.205462224303528,-0.00568673166843503,0.12281717361202024,0.12349397721999264,0.0006768036079723982,3,3
Mn,Cν,0.30037478211454305,0.31133811724306204,0.010963335128518992,0.13256796476136076,0.1320489213911006,-0.0005190433702601527,6,6
Pb,Fν,0.20679795764420883,0.20549534947528536,-0.0013026081689234692,0.09734103452197115,0.0973966506683551,5.561614638394108e-05,5,5
Pb,Cν,-0.04140510869750691,-0.04142135156857174,-1.624287106483102e-05,0.11813447646010537,0.11808734875445821,-4.7127705647159734e-05,3,3
Cd,Fν,-0.30486509324615163,-0.30530937013926773,-0.0004442768931161023,0.28887028701978545,0.2889828300550592,0.00011254303527374887,0,0
Cd,Cν,-0.3319189043294488,-0.33068325307637103,0.0012356512530777852,0.2801562922648473,0.2800479300031541,-0.00010836226169319563,1,1
