Representation,Metal,Configuration,R2,Block_MAE,Recall_k11,Hits_k11,High_n,Budget_k
logHF,Fe,F,0.03283064541809322,0.1747061586541614,0.0,0,11,11
logHF,Zn,F,0.31278092250176615,0.1041081179724559,0.7272727272727273,8,11,11
logHF,Cu,F,0.3520117437178033,0.1333343975130153,0.6363636363636364,7,11,11
logHF,Cr,F,-0.02856832747863991,0.1338504035764727,0.18181818181818182,2,11,11
logHF,Co,F,0.09840052872860328,0.07004821121301154,0.2727272727272727,3,11,11
logHF,Ni,F,0.20379502624439627,0.07676967268996554,0.36363636363636365,4,11,11
logHF,Mn,F,-0.018583364487681164,0.13872979600398078,0.0,0,11,11
logHF,Pb,F,0.3017789802235227,0.09167069367683706,0.6363636363636364,7,11,11
logHF,Cd,F,-0.14410297715857734,0.2719506052487179,0.09090909090909091,1,11,11
logHF,Fe,C,0.2750859296650825,0.16006464661242106,0.18181818181818182,2,11,11
logHF,Zn,C,0.0012011969724425864,0.12609740011458956,0.36363636363636365,4,11,11
logHF,Cu,C,-0.09615159534485862,0.1704568313645132,0.18181818181818182,2,11,11
logHF,Cr,C,0.22988724884455902,0.10882953100018807,0.36363636363636365,4,11,11
logHF,Co,C,0.2539827357657213,0.06209113323473734,0.36363636363636365,4,11,11
logHF,Ni,C,0.34316544533295834,0.06804819555498745,0.45454545454545453,5,11,11
logHF,Mn,C,0.28417760742883524,0.13691399248862518,0.18181818181818182,2,11,11
logHF,Pb,C,-0.003976213073499046,0.11486665497685145,0.36363636363636365,4,11,11
logHF,Cd,C,-0.13808704882889478,0.27488735862421054,0.0,0,11,11
logHF,Fe,Fν,0.054038735460519405,0.1659761510926728,0.2727272727272727,3,11,11
logHF,Zn,Fν,0.44408809751167744,0.11277504152774738,0.6363636363636364,7,11,11
logHF,Cu,Fν,0.26902746409841505,0.13946994986106914,0.5454545454545454,6,11,11
logHF,Cr,Fν,-0.12441394324280375,0.13885310168882564,0.09090909090909091,1,11,11
logHF,Co,Fν,0.2346238977187295,0.06626661769342163,0.45454545454545453,5,11,11
logHF,Ni,Fν,0.21015410167079462,0.07549613629936798,0.45454545454545453,5,11,11
logHF,Mn,Fν,0.205462224303528,0.12349397721999264,0.2727272727272727,3,11,11
logHF,Pb,Fν,0.20549534947528536,0.0973966506683551,0.45454545454545453,5,11,11
logHF,Cd,Fν,-0.30530937013926773,0.2889828300550592,0.0,0,11,11
logHF,Fe,Cν,0.24244071758704488,0.15330242781515108,0.45454545454545453,5,11,11
logHF,Zn,Cν,0.092645561462529,0.1265492631232347,0.45454545454545453,5,11,11
logHF,Cu,Cν,-0.06062783151403828,0.1705615189890764,0.18181818181818182,2,11,11
logHF,Cr,Cν,0.3506206754565858,0.09441600313789758,0.36363636363636365,4,11,11
logHF,Co,Cν,0.1484050455128445,0.061697141391890864,0.5454545454545454,6,11,11
logHF,Ni,Cν,0.3343150931577945,0.06919020155586825,0.6363636363636364,7,11,11
logHF,Mn,Cν,0.31133811724306204,0.1320489213911006,0.5454545454545454,6,11,11
logHF,Pb,Cν,-0.04142135156857174,0.11808734875445821,0.2727272727272727,3,11,11
logHF,Cd,Cν,-0.33068325307637103,0.2800479300031541,0.09090909090909091,1,11,11
logHF,Fe,FC,0.2607039075929898,0.16477530548458788,0.18181818181818182,2,11,11
logHF,Zn,FC,0.3606965759786138,0.10462994120481453,0.6363636363636364,7,11,11
logHF,Cu,FC,0.4875018136620417,0.12133750009875093,0.7272727272727273,8,11,11
logHF,Cr,FC,0.1896677382295292,0.11096624811727782,0.45454545454545453,5,11,11
logHF,Co,FC,0.1905657081566029,0.0647471224771557,0.36363636363636365,4,11,11
logHF,Ni,FC,0.32278712124661724,0.0697075485637493,0.45454545454545453,5,11,11
logHF,Mn,FC,0.4054977418187876,0.11618267329034075,0.45454545454545453,5,11,11
logHF,Pb,FC,0.3120474451077506,0.09299063782482539,0.5454545454545454,6,11,11
logHF,Cd,FC,-0.2661515663067877,0.28453894057890483,0.09090909090909091,1,11,11
