Representation,Metal,Selector,F,C,Fν,Cν,FC
FD,Fe,S_MAE,0,8,7,29,1
FD,Fe,S_REC,0,1,0,44,0
FD,Zn,S_MAE,38,0,3,0,4
FD,Zn,S_REC,45,0,0,0,0
FD,Cu,S_MAE,2,0,1,0,42
FD,Cu,S_REC,22,0,2,10,11
FD,Cr,S_MAE,0,1,0,44,0
FD,Cr,S_REC,0,0,0,44,1
FD,Co,S_MAE,0,24,6,14,1
FD,Co,S_REC,0,1,0,44,0
FD,Ni,S_MAE,0,41,1,2,1
FD,Ni,S_REC,0,7,4,33,1
FD,Mn,S_MAE,1,0,15,1,28
FD,Mn,S_REC,0,0,1,43,1
FD,Pb,S_MAE,36,0,8,0,1
FD,Pb,S_REC,0,13,0,15,17
FD,Cd,S_MAE,27,11,2,4,1
FD,Cd,S_REC,32,0,5,8,0
logHF,Fe,S_MAE,0,6,6,32,1
logHF,Fe,S_REC,0,1,0,44,0
logHF,Zn,S_MAE,38,0,3,0,4
logHF,Zn,S_REC,45,0,0,0,0
logHF,Cu,S_MAE,2,0,1,0,42
logHF,Cu,S_REC,22,0,2,10,11
logHF,Cr,S_MAE,0,1,0,44,0
logHF,Cr,S_REC,0,0,0,44,1
logHF,Co,S_MAE,0,21,7,16,1
logHF,Co,S_REC,0,1,0,44,0
logHF,Ni,S_MAE,0,39,1,4,1
logHF,Ni,S_REC,0,8,4,32,1
logHF,Mn,S_MAE,1,0,13,1,30
logHF,Mn,S_REC,0,0,1,43,1
logHF,Pb,S_MAE,36,0,8,0,1
logHF,Pb,S_REC,0,13,0,15,17
logHF,Cd,S_MAE,27,11,2,4,1
logHF,Cd,S_REC,31,0,6,8,0
