Representation,Deleted_Block,Outer_Block_A,Outer_Block_B,Test_n,Metal,S_MAE,S_REC,Inner_MAE_of_S_MAE,Inner_Recovery_of_S_MAE,Inner_MAE_of_S_REC,Inner_Recovery_of_S_REC,Recovery_Primary_Tie_Size,Recovery_Primary_Tied_Set,Outer_Recall_S_MAE,Outer_Recall_S_REC,Delta_Recall,Outer_Hits_S_MAE,Outer_Hits_S_REC,High_n,Budget_k,Outer_BlockMAE_S_MAE,Outer_BlockMAE_S_REC,Delta_BlockMAE_REC_minus_MAE,Inner_Pairs
FD,0,1,2,6,Fe,Cν,Cν,0.18451193027676172,0.5976190476190476,0.18451193027676172,0.5976190476190476,1,Cν,1.0,1.0,0.0,2,2,2,2,0.05733932363800054,0.05733932363800054,0.0,28
FD,0,1,2,6,Zn,F,F,0.11071710845260714,0.7738095238095237,0.11071710845260714,0.7738095238095237,1,F,0.0,0.0,0.0,0,0,2,2,0.11967408838126284,0.11967408838126284,0.0,28
FD,0,1,2,6,Cu,F,F,0.1167724785948555,0.6404761904761903,0.1167724785948555,0.6404761904761903,1,F,0.5,0.5,0.0,1,1,2,2,0.20425268430190743,0.20425268430190743,0.0,28
FD,0,1,2,6,Cr,Cν,Cν,0.10030151348708018,0.7404761904761905,0.10030151348708018,0.7404761904761905,1,Cν,0.5,0.5,0.0,1,1,2,2,0.07419743933683781,0.07419743933683781,0.0,28
FD,0,1,2,6,Co,C,Cν,0.06413491839720634,0.5166666666666667,0.06485644173290325,0.7333333333333332,1,Cν,0.5,0.5,0.0,1,1,2,2,0.056221076878980814,0.05297596029620941,-0.003245116582771407,28
FD,0,1,2,6,Ni,C,Cν,0.07559766032111855,0.5333333333333334,0.07693047676301557,0.5904761904761904,1,Cν,0.5,0.5,0.0,1,1,2,2,0.04250660298678369,0.04493387547717845,0.0024272724903947607,28
FD,0,1,2,6,Mn,FC,Cν,0.1400531297701737,0.6119047619047616,0.1486740050460629,0.6785714285714285,1,Cν,0.5,0.5,0.0,1,1,2,2,0.03575538668068223,0.08732474668395895,0.05156936000327672,28
FD,0,1,2,6,Pb,F,Cν,0.09544600808660493,0.45476190476190465,0.12734799211057826,0.5261904761904761,1,Cν,1.0,1.0,0.0,2,2,2,2,0.07945416143622813,0.10058876026549979,0.021134598829271656,28
FD,0,1,2,6,Cd,F,F,0.3088103981650219,0.3761904761904762,0.3088103981650219,0.3761904761904762,1,F,0.5,0.5,0.0,1,1,2,2,0.11922812742061911,0.11922812742061911,0.0,28
FD,0,1,3,13,Fe,C,Cν,0.18025092951615101,0.43571428571428567,0.1810218900734649,0.6809523809523809,1,Cν,0.5,0.5,0.0,2,2,4,4,0.1253299298082843,0.11036439800745584,-0.014965531800828463,28
FD,0,1,3,13,Zn,F,F,0.11017939222839386,0.6285714285714284,0.11017939222839386,0.6285714285714284,1,F,0.75,0.75,0.0,3,3,4,4,0.11352928422293328,0.11352928422293328,0.0,28
FD,0,1,3,13,Cu,FC,F,0.1309355307286187,0.38333333333333336,0.1316679196058193,0.49047619047619057,2,F|Fν,1.0,0.75,-0.25,4,3,4,4,0.14170773603572212,0.18073705685668923,0.03902932082096709,28
FD,0,1,3,13,Cr,Cν,Cν,0.10054639096285513,0.7523809523809525,0.10054639096285513,0.7523809523809525,1,Cν,0.25,0.25,0.0,1,1,4,4,0.09813140536963177,0.09813140536963177,6.938893903907228e-18,28
FD,0,1,3,13,Co,C,Cν,0.06578454412780266,0.55,0.0665097946673287,0.7047619047619047,1,Cν,0.5,0.5,0.0,2,2,4,4,0.059048805644650273,0.057037141364086906,-0.002011664280563364,28
FD,0,1,3,13,Ni,C,Cν,0.07455617632114739,0.561904761904762,0.07535587410866791,0.6214285714285716,1,Cν,0.75,0.75,0.0,3,3,4,4,0.058352629436833586,0.05864456701438146,0.00029193757754787664,28
FD,0,1,3,13,Mn,FC,Cν,0.1424886149055666,0.5333333333333333,0.1498669500145014,0.669047619047619,1,Cν,0.75,0.5,-0.25,3,2,4,4,0.05982398010207233,0.0917783667832886,0.03195438668121627,28
FD,0,1,3,13,Pb,F,C,0.09578304290952437,0.3904761904761904,0.12886733270082662,0.4857142857142856,1,C,1.0,0.5,-0.5,4,2,4,4,0.08809160193388074,0.10306182601436067,0.01497022408047994,28
FD,0,1,3,13,Cd,F,F,0.29823488696836614,0.3761904761904762,0.29823488696836614,0.3761904761904762,2,F|FC,0.5,0.5,0.0,2,2,4,4,0.22257999236429665,0.22257999236429665,0.0,28
FD,0,1,4,6,Fe,Cν,Cν,0.18218055221825855,0.5619047619047619,0.18218055221825855,0.5619047619047619,1,Cν,1.0,1.0,0.0,2,2,2,2,0.07267970235341537,0.07267970235341537,0.0,28
FD,0,1,4,6,Zn,F,F,0.09054585142035007,0.6547619047619045,0.09054585142035007,0.6547619047619045,1,F,0.5,0.5,0.0,1,1,2,2,0.15091818135619745,0.15091818135619745,0.0,28
FD,0,1,4,6,Cu,FC,F,0.11222527530257355,0.5000000000000001,0.1270716805946636,0.5333333333333334,1,F,1.0,0.5,-0.5,2,1,2,2,0.16028133127089686,0.16971541854055094,0.009434087269654085,28
FD,0,1,4,6,Cr,Cν,Cν,0.0999488015593881,0.7,0.0999488015593881,0.7,1,Cν,0.5,0.5,0.0,1,1,2,2,0.07932698342102629,0.07932698342102629,0.0,28
FD,0,1,4,6,Co,C,Cν,0.0641083274955772,0.6238095238095237,0.06412464858859397,0.769047619047619,1,Cν,0.5,0.5,0.0,1,1,2,2,0.056691387322160586,0.059308863726912936,0.00261747640475235,28
FD,0,1,4,6,Ni,C,Cν,0.07568611373422342,0.5333333333333334,0.07644300216754475,0.6309523809523808,1,Cν,0.5,0.5,0.0,1,1,2,2,0.04222618615963669,0.04733939355413913,0.005113207394502439,28
FD,0,1,4,6,Mn,Fν,Cν,0.13931346907897207,0.4714285714285714,0.15333970136510885,0.6238095238095236,1,Cν,0.0,0.5,0.5,0,1,2,2,0.08229518054086898,0.07303085578703389,-0.009264324753835096,28
FD,0,1,4,6,Pb,F,Cν,0.097862923038697,0.5023809523809522,0.1312507444309751,0.5619047619047619,1,Cν,0.5,0.5,0.0,1,1,2,2,0.07087856412781623,0.07903524256813871,0.008156678440322473,28
FD,0,1,4,6,Cd,F,F,0.24665740286547697,0.25,0.24665740286547697,0.25,1,F,0.5,0.5,0.0,1,1,2,2,0.3385650946177263,0.3385650946177263,0.0,28
FD,0,1,5,6,Fe,Cν,Cν,0.1786738046410757,0.5857142857142857,0.1786738046410757,0.5857142857142857,1,Cν,0.5,0.5,0.0,1,1,2,2,0.0873035969236644,0.0873035969236644,0.0,28
FD,0,1,5,6,Zn,F,F,0.10033833922339729,0.6547619047619045,0.10033833922339729,0.6547619047619045,2,F|FC,0.0,0.0,0.0,0,0,2,2,0.12657786363844345,0.12657786363844345,0.0,28
FD,0,1,5,6,Cu,FC,FC,0.11444744570468983,0.5714285714285714,0.11444744570468983,0.5714285714285714,1,FC,1.0,1.0,0.0,2,2,2,2,0.15081457508134122,0.15081457508134122,0.0,28
FD,0,1,5,6,Cr,Cν,Cν,0.08884245832244775,0.6571428571428571,0.08884245832244775,0.6571428571428571,1,Cν,0.5,0.5,0.0,1,1,2,2,0.11198165377681674,0.11198165377681674,0.0,28
FD,0,1,5,6,Co,C,Cν,0.06135224213177755,0.5523809523809524,0.06358327180980393,0.7285714285714285,1,Cν,0.5,0.5,0.0,1,1,2,2,0.06618371217413554,0.05943413058034236,-0.006749581593793186,28
FD,0,1,5,6,Ni,C,Cν,0.07095682306310726,0.604761904761905,0.07338617459831379,0.6547619047619048,1,Cν,0.5,0.5,0.0,1,1,2,2,0.05997193582685495,0.055611878404349085,-0.004360057422505864,28
FD,0,1,5,6,Mn,FC,Cν,0.13467398294039606,0.4976190476190476,0.14872757724746563,0.6357142857142856,1,Cν,0.5,0.5,0.0,1,1,2,2,0.06382848645784939,0.09103284395757605,0.02720435749972666,28
FD,0,1,5,6,Pb,F,FC,0.09639668209790829,0.5499999999999997,0.10283536001049945,0.5738095238095237,1,FC,0.5,0.5,0.0,1,1,2,2,0.07449463966904224,0.079765739456503,0.005271099787460765,28
FD,0,1,5,6,Cd,F,F,0.29353496587279376,0.4119047619047619,0.29353496587279376,0.4119047619047619,1,F,0.5,0.5,0.0,1,1,2,2,0.18500893605598873,0.18500893605598873,1.3877787807814457e-17,28
FD,0,1,6,14,Fe,Cν,Cν,0.17184748503846592,0.7119047619047619,0.17184748503846592,0.7119047619047619,1,Cν,0.75,0.75,0.0,3,3,4,4,0.12677159566645418,0.12677159566645418,1.3877787807814457e-17,28
FD,0,1,6,14,Zn,F,F,0.1144637542578283,0.5928571428571429,0.1144637542578283,0.5928571428571429,1,F,0.75,0.75,0.0,3,3,4,4,0.0922475923886136,0.0922475923886136,-6.938893903907228e-18,28
FD,0,1,6,14,Cu,FC,F,0.12113699455441376,0.4928571428571429,0.13442101013769117,0.5928571428571429,1,F,0.5,0.5,0.0,2,2,4,4,0.12817902361257744,0.14047918954020427,0.012300165927626852,28
FD,0,1,6,14,Cr,Cν,Cν,0.09062148374837997,0.7666666666666667,0.09062148374837997,0.7666666666666667,1,Cν,0.75,0.75,0.0,3,3,4,4,0.09710262484611576,0.09710262484611576,6.938893903907228e-18,28
FD,0,1,6,14,Co,Cν,Cν,0.06168290994850967,0.7119047619047619,0.06168290994850967,0.7119047619047619,1,Cν,0.75,0.75,0.0,3,3,4,4,0.07023933962809721,0.07023933962809721,0.0,28
