Representation,Metal,Outer_Batches,Mean_Recall_S_MAE,Mean_Recall_S_REC,Mean_Delta_Recall,Median_Delta_Recall,Wins_REC,Ties,Losses_REC,RecoverySelection_Differs_from_MAE
FD,Fe,45,0.5896296296296296,0.6292592592592593,0.039629629629629626,0.0,7,37,1,16
FD,Zn,45,0.585185185185185,0.6148148148148148,0.029629629629629627,0.0,2,43,0,7
FD,Cu,45,0.5574074074074074,0.454074074074074,-0.10333333333333335,0.0,2,30,13,32
FD,Cr,45,0.6718518518518518,0.6762962962962962,0.004444444444444444,0.0,1,44,0,2
FD,Co,45,0.6,0.7129629629629629,0.11296296296296296,0.0,11,32,2,32
FD,Ni,45,0.5781481481481481,0.5955555555555555,0.017407407407407406,0.0,5,38,2,39
FD,Mn,45,0.46777777777777774,0.5974074074074074,0.12962962962962965,0.0,13,26,6,42
FD,Pb,45,0.5014814814814814,0.4429629629629629,-0.05851851851851852,0.0,1,37,7,44
FD,Cd,45,0.2374074074074074,0.24518518518518523,0.007777777777777778,0.0,4,38,3,16
logHF,Fe,45,0.6044444444444445,0.6292592592592593,0.024814814814814814,0.0,5,39,1,13
logHF,Zn,45,0.585185185185185,0.6148148148148148,0.029629629629629627,0.0,2,43,0,7
logHF,Cu,45,0.5574074074074074,0.454074074074074,-0.10333333333333335,0.0,2,30,13,32
logHF,Cr,45,0.6792592592592592,0.6837037037037037,0.004444444444444444,0.0,1,44,0,2
logHF,Co,45,0.6148148148148148,0.7129629629629629,0.09814814814814814,0.0,11,32,2,30
logHF,Ni,45,0.5559259259259258,0.5911111111111111,0.03518518518518518,0.0,4,40,1,36
logHF,Mn,45,0.48259259259259246,0.6018518518518519,0.11925925925925927,0.0,13,26,6,42
logHF,Pb,45,0.5014814814814814,0.4429629629629629,-0.05851851851851852,0.0,1,37,7,44
logHF,Cd,45,0.2374074074074074,0.24518518518518523,0.007777777777777778,0.0,4,38,3,17
