Sample,SiteCode,Side,StationNumber,Distance_raw,Distance_numeric_m,LocationIndex,Latitude_raw,Longitude_raw,Fine_Klf_raw,Fine_Khf_raw,Fine_net_mass_g,Fine_mass_rule,Fine_LF_reconstructed,Fine_HF_reconstructed,Fine_FD_pct,Coarse_Klf_raw,Coarse_Khf_raw,Coarse_mass_g,Coarse_LF_reconstructed,Coarse_HF_reconstructed,Coarse_FD_pct,Fe_mgkg,Zn_mgkg,Cu_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Mn_mgkg,Pb_mgkg,Cd_mgkg
1,R1,R,1,1m,1.0,1,56°.140731N,572067035E,101.0,97.0,10.4467,dist mass used directly (net),96.68124862396738,92.85228828242411,3.960396039603963,93,90,13.9953,66.45087993826499,64.3073031660629,3.2258064516129017,9330.483099303,158.1079218836129,87.16922791687973,34.6160082641165,48.1742425295183,95.48732311280229,370.2936189594341,137.73438980529397,8.205667869407174
2,R1,R,1,1m,1.0,1,56°.140731N,572067035E,366.0,363.0,11.3315,dist mass used directly (net),322.9934254070511,320.34593831355073,0.8196721311475313,284,281,13.7641,206.33386854207686,204.15428542367465,1.0563380281690073,13860.87169142368,149.5029892439432,143.65423051299135,36.84500454220384,42.999656002751976,81.29933624585153,458.3130420585345,157.7831877977087,11.216587960817613
3,R1,R,1,1m,1.0,1,56°.140731N,572067035E,82.0,77.0,10.5155,dist mass used directly (net),77.98012457800391,73.22523893300367,6.097560975609762,73,71,11.579,63.04516797650919,61.317903100440454,2.739726027397248,12586.7502140294,98.15056841755872,50.57619043117385,43.51685286120108,37.74806744538326,66.9949886713802,461.1935527595637,93.95260149569951,11.883942833268547
4,L1,L,1,1m,1.0,10,54.507331N,51.1505035E,161.0,158.0,11.208499999999999,dist mass used directly (net),143.6409867511264,140.964446625329,1.8633540372670916,102,101,14.4075,70.79646017699115,70.10237723407947,0.9803921568627446,6893.466992922356,140.15953032943324,106.35180230854313,26.878056178977133,29.938122456683278,63.11497002245857,307.72126238352837,82.93746890654852,20.397812325759453
5,R2,R,2,1,1.0,2,55.°214431N,515470030E,317.0,310.0,11.7179,dist mass used directly (net),270.5262888401505,264.5525222096109,2.2082018927444844,207,201,12.4041,166.88030570537163,162.043195395071,2.8985507246376834,15650.40650406504,144.42061546840958,90.74832464631423,45.680225817833566,54.14584134307318,86.84375662151811,515.859032992955,155.65830705004544,6.8980210538080575
6,L2,L,2,1,1.0,11,42.735131N,57.7706035E,146.0,143.0,11.713199999999999,dist mass used directly (net),124.64569886965135,122.08448587917906,2.0547945205479543,52,50,13.2158,39.34684241589613,37.83350232297704,3.8461538461538596,7847.812603297344,157.51104004872846,102.64209424568182,32.882336430927715,32.545376914280254,56.96129707708799,243.43721489126537,129.60548328695674,6.83535564925056
7,R3,R,3,1,1.0,3,53.°446031N,522268035E,174.0,171.0,11.2181,dist mass used directly (net),155.10647970690223,152.43223005678323,1.7241379310344858,118,113,12.653,93.25851576701177,89.30688374298585,4.237288135593224,9583.68793858347,284.530625432032,68.64957218134445,28.509185172720468,42.07615784570072,68.57799150127565,322.54186892202256,154.18328830571153,10.262608095858349
8,R3,R,3,20,20.0,3,53.°446031N,522268035E,276.0,270.0,12.299999999999999,EF gross mass - 2.999 g bottle; dist mass cell inconsistent,224.39024390243904,219.51219512195124,2.1739130434782594,208,206,12.9875,160.15399422521654,158.614051973051,0.9615384615384536,14262.184704393578,185.92827383628574,99.5379934642978,42.648418229112856,50.77833669210874,90.53662938239331,467.44245618404483,259.08747565525607,6.631077322301784
9,R3,R,3,50,50.0,3,53.°446031N,522268035E,75.0,71.0,11.140799999999999,dist mass used directly (net),67.32012063765619,63.72971420364786,5.333333333333332,106,102,11.6141,91.26837206498996,87.82428255310356,3.7735849056603663,21596.108247709588,58.636340585222385,43.041441108331554,50.45177807318794,44.448024151087495,73.03360342487764,547.5185434349237,87.31474721133328,15.121614364037749
10,R3,R,3,70,70.0,3,53.°446031N,522268035E,93.0,88.0,13.111399999999998,dist mass used directly (net),70.93064051131078,67.11716521500375,5.376344086021507,110,104,12.3739,88.89679082585118,84.04787496262294,5.45454545454545,17396.880220202605,60.80084397639854,31.482484677105987,51.26412139343946,39.24790470374422,60.299993164448644,686.4824941790898,108.47475973132316,4.070997883799511
