Metal,Model,N,Blocks,R2,Spearman,MAE_sample,MAE_block
Fe,F,43,10,0.03283064541809322,0.16535789791603744,0.1619350563597595,0.1747061586541614
Zn,F,43,10,0.3127809225017665,0.6671700392630626,0.1137062137186637,0.1041081179724559
Cu,F,43,10,0.3520117437178033,0.5217456961643009,0.12402672926356378,0.1333343975130153
Cr,F,43,10,-0.028568327478639688,0.061159770462096044,0.13586824395521074,0.13385040357647268
Co,F,43,10,0.09840052872860272,0.22863183328299608,0.07128240721994149,0.07004821121301155
Ni,F,43,10,0.20379502624439616,0.44805194805194803,0.06567625225568062,0.07676967268996554
Mn,F,43,10,-0.018583364487681164,0.035336756266988824,0.1382513154482739,0.13872979600398078
Pb,F,43,10,0.30177898022352256,0.5974025974025975,0.08700983379882081,0.09167069367683708
Cd,F,43,10,-0.14410297715857734,-0.4435215946843854,0.24616187924440444,0.2719506052487179
Fe,C,43,10,0.2750859296650826,0.5344306855934763,0.13505100396463116,0.160064646612421
Zn,C,43,10,0.0012011969724425864,0.20945333736031413,0.1465578413187053,0.1260974001145896
Cu,C,43,10,-0.09615159534485862,-0.029296285110238598,0.16091342983893187,0.1704568313645132
Cr,C,43,10,0.22988724884455902,0.4815765629719118,0.10967746431228928,0.10882953100018808
Co,C,43,10,0.2539827357657213,0.46949562065841133,0.06445964843897503,0.06209113323473734
Ni,C,43,10,0.3431654453329587,0.5943823618242223,0.05389582075199933,0.06804819555498741
Mn,C,43,10,0.28417760742883524,0.46723044397463,0.1167219630769272,0.13691399248862518
Pb,C,43,10,-0.003976213073498824,0.2520386590154032,0.10741792238808148,0.1148666549768514
Cd,C,43,10,-0.13808704882889478,-0.3944427665357898,0.24700156532653497,0.27488735862421054
Fe,Ffreq,43,10,0.056389674477139495,0.21262458471760795,0.15867807201545944,0.16551899252899374
Zn,Ffreq,43,10,0.4435690111358134,0.7307459981878587,0.10995252004308824,0.11291694501021513
Cu,Ffreq,43,10,0.26886466390676267,0.5001510117789187,0.13309838966130516,0.13954097825633743
Cr,Ffreq,43,10,-0.12459292167144875,0.017366354575656905,0.1429620166439012,0.13882394128317524
Co,Ffreq,43,10,0.23734667585774616,0.3864391422530957,0.06589639312071328,0.06621573977210118
Ni,Ffreq,43,10,0.2120071412719794,0.4000302023557838,0.062252190437090175,0.07541483957059433
Mn,Ffreq,43,10,0.21114895597196315,0.43038356991845356,0.12064224290149968,0.12281717361202023
Pb,Ffreq,43,10,0.20679795764420872,0.509211718514044,0.09312496476403832,0.09734103452197115
Cd,Ffreq,43,10,-0.30486509324615163,-0.5721836303231652,0.2687037388897323,0.28887028701978545
Fe,Cfreq,43,10,0.22959639400494714,0.5810933252793717,0.14403045491795544,0.15398608150280668
Zn,Cfreq,43,10,0.08520943839296091,0.48384173965569316,0.13784818899230245,0.12655185556069076
Cu,Cfreq,43,10,-0.07110734934227514,0.25007550588945937,0.15943474849595662,0.17078294273522784
Cr,Cfreq,43,10,0.34348052775107873,0.5969495620658412,0.10393330282468612,0.09466061350480728
Co,Cfreq,43,10,0.13169090192948163,0.5320144971307762,0.06613806495578295,0.061906219046776935
Ni,Cfreq,43,10,0.3305468563066156,0.5989127151917849,0.055871352740092216,0.06922800313102531
Mn,Cfreq,43,10,0.3003747821145434,0.6144669284204168,0.11141668989293389,0.13256796476136073
Pb,Cfreq,43,10,-0.04140510869750824,0.22244035034732706,0.11014376797145643,0.11813447646010547
Cd,Cfreq,43,10,-0.33191890432944926,-0.23890063424947144,0.25907823674680364,0.2801562922648473
Fe,FC,43,10,0.26070390759298945,0.5425853216550891,0.13747357387712236,0.16477530548458788
Zn,FC,43,10,0.3606965759786136,0.719420114768952,0.10865099649061713,0.10462994120481454
Cu,FC,43,10,0.4875018136620418,0.6235276351555422,0.11050293911631552,0.12133750009875091
Cr,FC,43,10,0.18966773822952931,0.5134400483237692,0.11099710298487205,0.11096624811727784
Co,FC,43,10,0.19056570815660223,0.42162488674116577,0.06871065558186394,0.06474712247715574
Ni,FC,43,10,0.32278712124661746,0.5839625490788282,0.05620447396124662,0.06970754856374925
Mn,FC,43,10,0.4054977418187875,0.6173361522198731,0.09909764891154124,0.11618267329034074
Pb,FC,43,10,0.3120474451077504,0.6192993053458169,0.08406497059156894,0.09299063782482539
Cd,FC,43,10,-0.2661515663067877,-0.459830866807611,0.25972503468528246,0.28453894057890483
Fe,Single4_G,43,10,0.09554373823776074,0.5105708245243129,0.1570665223020617,0.16021442480854636
Zn,Single4_G,43,10,0.3127809225017665,0.6671700392630626,0.1137062137186637,0.1041081179724559
Cu,Single4_G,43,10,0.25496596329885735,0.48520084566596194,0.1336217430284007,0.13791868186732625
Cr,Single4_G,43,10,0.34348052775107873,0.5969495620658412,0.10393330282468612,0.09466061350480728
Co,Single4_G,43,10,0.058666109626660745,0.4491090305043794,0.07021477242875795,0.07094854164416667
Ni,Single4_G,43,10,0.3334539569023125,0.5940803382663847,0.054473699230446856,0.0692906342836496
Mn,Single4_G,43,10,0.11927517820817868,0.3563877982482634,0.12427673905267521,0.13844550706207506
Pb,Single4_G,43,10,0.25637640229268166,0.551344004832377,0.08839721762482011,0.09465356890273557
Cd,Single4_G,43,10,-0.14410297715857734,-0.4435215946843854,0.24616187924440444,0.2719506052487179
