Metal,Recovery_target,Reference,k_reference,k_FC,Assays_avoided,Max_extra_cost_per_sample_in_assay_units
Fe,0.5,Ffreq,28,17,11,0.2558139534883721
Fe,0.5,Cfreq,17,17,0,0.0
Fe,0.5,Single4_G,18,17,1,0.023255813953488372
Fe,0.8,Ffreq,33,22,11,0.2558139534883721
Fe,0.8,Cfreq,22,22,0,0.0
Fe,0.8,Single4_G,24,22,2,0.046511627906976744
Fe,1.0,Ffreq,39,25,14,0.32558139534883723
Fe,1.0,Cfreq,26,25,1,0.023255813953488372
Fe,1.0,Single4_G,34,25,9,0.20930232558139536
Zn,0.5,Ffreq,10,7,3,0.06976744186046512
Zn,0.5,Cfreq,14,7,7,0.16279069767441862
Zn,0.5,Single4_G,7,7,0,0.0
Zn,0.8,Ffreq,13,15,-2,-0.046511627906976744
Zn,0.8,Cfreq,23,15,8,0.18604651162790697
Zn,0.8,Single4_G,15,15,0,0.0
Zn,1.0,Ffreq,20,20,0,0.0
Zn,1.0,Cfreq,33,20,13,0.3023255813953488
Zn,1.0,Single4_G,23,20,3,0.06976744186046512
Cu,0.5,Ffreq,11,6,5,0.11627906976744186
Cu,0.5,Cfreq,18,6,12,0.27906976744186046
Cu,0.5,Single4_G,10,6,4,0.09302325581395349
Cu,0.8,Ffreq,15,12,3,0.06976744186046512
Cu,0.8,Cfreq,28,12,16,0.37209302325581395
Cu,0.8,Single4_G,18,12,6,0.13953488372093023
Cu,1.0,Ffreq,31,20,11,0.2558139534883721
Cu,1.0,Cfreq,43,20,23,0.5348837209302325
Cu,1.0,Single4_G,36,20,16,0.37209302325581395
Cr,0.5,Ffreq,28,13,15,0.3488372093023256
Cr,0.5,Cfreq,13,13,0,0.0
Cr,0.5,Single4_G,13,13,0,0.0
Cr,0.8,Ffreq,35,23,12,0.27906976744186046
Cr,0.8,Cfreq,20,23,-3,-0.06976744186046512
Cr,0.8,Single4_G,20,23,-3,-0.06976744186046512
Cr,1.0,Ffreq,43,41,2,0.046511627906976744
Cr,1.0,Cfreq,39,41,-2,-0.046511627906976744
Cr,1.0,Single4_G,39,41,-2,-0.046511627906976744
Co,0.5,Ffreq,20,15,5,0.11627906976744186
Co,0.5,Cfreq,11,15,-4,-0.09302325581395349
Co,0.5,Single4_G,11,15,-4,-0.09302325581395349
Co,0.8,Ffreq,26,19,7,0.16279069767441862
Co,0.8,Cfreq,16,19,-3,-0.06976744186046512
Co,0.8,Single4_G,19,19,0,0.0
Co,1.0,Ffreq,31,28,3,0.06976744186046512
Co,1.0,Cfreq,29,28,1,0.023255813953488372
Co,1.0,Single4_G,29,28,1,0.023255813953488372
Ni,0.5,Ffreq,12,12,0,0.0
Ni,0.5,Cfreq,8,12,-4,-0.09302325581395349
Ni,0.5,Single4_G,12,12,0,0.0
Ni,0.8,Ffreq,26,17,9,0.20930232558139536
Ni,0.8,Cfreq,19,17,2,0.046511627906976744
Ni,0.8,Single4_G,17,17,0,0.0
Ni,1.0,Ffreq,31,31,0,0.0
Ni,1.0,Cfreq,30,31,-1,-0.023255813953488372
Ni,1.0,Single4_G,33,31,2,0.046511627906976744
Mn,0.5,Ffreq,24,12,12,0.27906976744186046
Mn,0.5,Cfreq,10,12,-2,-0.046511627906976744
Mn,0.5,Single4_G,25,12,13,0.3023255813953488
Mn,0.8,Ffreq,28,20,8,0.18604651162790697
Mn,0.8,Cfreq,21,20,1,0.023255813953488372
Mn,0.8,Single4_G,29,20,9,0.20930232558139536
Mn,1.0,Ffreq,41,24,17,0.3953488372093023
Mn,1.0,Cfreq,25,24,1,0.023255813953488372
Mn,1.0,Single4_G,41,24,17,0.3953488372093023
Pb,0.5,Ffreq,12,9,3,0.06976744186046512
Pb,0.5,Cfreq,16,9,7,0.16279069767441862
Pb,0.5,Single4_G,10,9,1,0.023255813953488372
Pb,0.8,Ffreq,28,19,9,0.20930232558139536
Pb,0.8,Cfreq,27,19,8,0.18604651162790697
Pb,0.8,Single4_G,24,19,5,0.11627906976744186
Pb,1.0,Ffreq,37,30,7,0.16279069767441862
Pb,1.0,Cfreq,39,30,9,0.20930232558139536
Pb,1.0,Single4_G,38,30,8,0.18604651162790697
Cd,0.5,Ffreq,33,33,0,0.0
Cd,0.5,Cfreq,28,33,-5,-0.11627906976744186
Cd,0.5,Single4_G,32,33,-1,-0.023255813953488372
Cd,0.8,Ffreq,39,37,2,0.046511627906976744
Cd,0.8,Cfreq,40,37,3,0.06976744186046512
Cd,0.8,Single4_G,36,37,-1,-0.023255813953488372
Cd,1.0,Ffreq,43,43,0,0.0
Cd,1.0,Cfreq,42,43,-1,-0.023255813953488372
Cd,1.0,Single4_G,40,43,-3,-0.06976744186046512
