Metal,Model,Metric,Printed,Independent,Independent_3dp,Matches_printed
Fe,Context,R2,0.049,0.049296836086299534,0.049,True
Fe,Context,Q2,0.085,0.08513980724861714,0.085,True
Fe,Context,MAE_sample,0.159,0.15906515735458074,0.159,True
Fe,Context,MAE_block,0.171,0.17050675771346305,0.171,True
Fe,Context+F,R2,0.354,0.3537151050611439,0.354,True
Fe,Context+F,Q2,0.378,0.3780810393834554,0.378,True
Fe,Context+F,MAE_sample,0.131,0.13094013547925384,0.131,True
Fe,Context+F,MAE_block,0.149,0.14858284357576118,0.149,True
Fe,Context+FC,R2,0.414,0.41372527232026723,0.414,True
Fe,Context+FC,Q2,0.436,0.43582873106012665,0.436,True
Fe,Context+FC,MAE_sample,0.121,0.12131831742484905,0.121,True
Fe,Context+FC,MAE_block,0.15,0.14974713139466048,0.150,True
Zn,Context,R2,0.14,0.13977761670483235,0.140,True
Zn,Context,Q2,0.176,0.17608011921687672,0.176,True
Zn,Context,MAE_sample,0.14,0.13977227498175082,0.140,True
Zn,Context,MAE_block,0.135,0.13519076926571408,0.135,True
Zn,Context+F,R2,0.425,0.4251906442532898,0.425,True
Zn,Context+F,Q2,0.449,0.4494483460826799,0.449,True
Zn,Context+F,MAE_sample,0.109,0.10893540160815755,0.109,True
Zn,Context+F,MAE_block,0.115,0.1145849464350505,0.115,True
Zn,Context+FC,R2,0.41,0.410187496732898,0.410,True
Zn,Context+FC,Q2,0.435,0.4350783508855993,0.435,True
Zn,Context+FC,MAE_sample,0.11,0.1100216349306551,0.110,True
Zn,Context+FC,MAE_block,0.118,0.11753238564256518,0.118,True
Cu,Context,R2,-0.01,-0.009877990929616942,-0.010,True
Cu,Context,Q2,0.107,0.10718094046801563,0.107,True
Cu,Context,MAE_sample,0.151,0.1514656216193285,0.151,True
Cu,Context,MAE_block,0.181,0.18112848991751057,0.181,True
Cu,Context+F,R2,0.352,0.35226963568715797,0.352,True
Cu,Context+F,Q2,0.427,0.42735061077649916,0.427,True
Cu,Context+F,MAE_sample,0.127,0.1270280114226986,0.127,True
Cu,Context+F,MAE_block,0.143,0.14340632545578663,0.143,True
Cu,Context+FC,R2,0.434,0.43413153759252354,0.434,True
Cu,Context+FC,Q2,0.5,0.4997235775379283,0.500,True
Cu,Context+FC,MAE_sample,0.117,0.11669068331862903,0.117,True
Cu,Context+FC,MAE_block,0.132,0.13179877528954553,0.132,True
Cr,Context,R2,-0.21,-0.20964484824302043,-0.210,True
Cr,Context,Q2,-0.107,-0.10661025056802798,-0.107,True
Cr,Context,MAE_sample,0.135,0.13489395468162366,0.135,True
Cr,Context,MAE_block,0.151,0.15094364894771178,0.151,True
Cr,Context+F,R2,0.023,0.023477583529053492,0.023,True
Cr,Context+F,Q2,0.107,0.10665538108495343,0.107,True
Cr,Context+F,MAE_sample,0.125,0.1251797178739193,0.125,True
Cr,Context+F,MAE_block,0.14,0.13956658389367638,0.140,True
Cr,Context+FC,R2,0.151,0.15102901032409288,0.151,True
Cr,Context+FC,Q2,0.223,0.22334228846192827,0.223,True
Cr,Context+FC,MAE_sample,0.111,0.11137329983596352,0.111,True
Cr,Context+FC,MAE_block,0.124,0.12419373976322623,0.124,True
Co,Context,R2,0.059,0.058922992851347056,0.059,True
Co,Context,Q2,0.094,0.09376194231220436,0.094,True
Co,Context,MAE_sample,0.066,0.06573725987600637,0.066,True
Co,Context,MAE_block,0.074,0.07367038073544994,0.074,True
Co,Context+F,R2,0.336,0.3358826797879506,0.336,True
Co,Context+F,Q2,0.36,0.36046849962967675,0.360,True
Co,Context+F,MAE_sample,0.054,0.054376694909469184,0.054,True
Co,Context+F,MAE_block,0.064,0.06378495645800686,0.064,True
Co,Context+FC,R2,0.316,0.31621105944420447,0.316,True
Co,Context+FC,Q2,0.342,0.341525128495892,0.342,True
Co,Context+FC,MAE_sample,0.056,0.056087991895336496,0.056,True
Co,Context+FC,MAE_block,0.061,0.061137561863164144,0.061,True
Ni,Context,R2,-0.055,-0.055293755748344164,-0.055,True
Ni,Context,Q2,-0.028,-0.027992708930445476,-0.028,True
Ni,Context,MAE_sample,0.075,0.07530708608613433,0.075,True
Ni,Context,MAE_block,0.086,0.08603651340054634,0.086,True
Ni,Context+F,R2,0.336,0.33622965344598776,0.336,True
Ni,Context+F,Q2,0.353,0.353401768043362,0.353,True
Ni,Context+F,MAE_sample,0.056,0.0555002065509978,0.056,True
Ni,Context+F,MAE_block,0.069,0.06881965793095293,0.069,True
Ni,Context+FC,R2,0.355,0.35532887113069167,0.355,True
Ni,Context+FC,Q2,0.372,0.37200687815531186,0.372,True
Ni,Context+FC,MAE_sample,0.052,0.05152910062301798,0.052,True
Ni,Context+FC,MAE_block,0.066,0.06564313517462252,0.066,True
Mn,Context,R2,0.217,0.21682694111615974,0.217,True
Mn,Context,Q2,0.236,0.23624503349403514,0.236,True
Mn,Context,MAE_sample,0.114,0.11364833659024468,0.114,True
Mn,Context,MAE_block,0.123,0.12275841459269479,0.123,True
Mn,Context+F,R2,0.364,0.36409482341546995,0.364,True
Mn,Context+F,Q2,0.38,0.3798615371991204,0.380,True
Mn,Context+F,MAE_sample,0.108,0.10847541839235703,0.108,True
Mn,Context+F,MAE_block,0.121,0.12138455896568659,0.121,True
