Grouping,Model,Metric,Published,Independent,Difference,Matches_1e-12
Ten_code_blocks,Context,R2,0.2168269411161574,0.21682694111615974,2.3314683517128287e-15,True
Ten_code_blocks,Context,MAE_sample,0.11364833659024488,0.11364833659024468,-2.0816681711721685e-16,True
Ten_code_blocks,Context,MAE_block,0.12275841459269499,0.12275841459269479,-1.942890293094024e-16,True
Ten_code_blocks,Context,Hits_h11_k11,6,6,0,True
Ten_code_blocks,ContextF,R2,0.3640948234154723,0.36409482341546995,-2.3314683517128287e-15,True
Ten_code_blocks,ContextF,MAE_sample,0.10847541839235719,0.10847541839235703,-1.6653345369377348e-16,True
Ten_code_blocks,ContextF,MAE_block,0.12138455896568649,0.12138455896568659,9.71445146547012e-17,True
Ten_code_blocks,ContextF,Hits_h11_k11,6,6,0,True
Ten_code_blocks,ContextFC,R2,0.5431725299096475,0.543172529909652,4.551914400963142e-15,True
Ten_code_blocks,ContextFC,MAE_sample,0.08343005918468842,0.08343005918468824,-1.8041124150158794e-16,True
Ten_code_blocks,ContextFC,MAE_block,0.1037759744213651,0.10377597442136452,-5.828670879282072e-16,True
Ten_code_blocks,ContextFC,Hits_h11_k11,6,6,0,True
Nineteen_side_codes,Context,R2,0.21694608854232267,0.2169460885423311,8.43769498715119e-15,True
Nineteen_side_codes,Context,MAE_sample,0.11381603926610186,0.11381603926610138,-4.718447854656915e-16,True
Nineteen_side_codes,Context,MAE_block,0.11714545280081476,0.11714545280081448,-2.7755575615628914e-16,True
Nineteen_side_codes,Context,Hits_h11_k11,6,6,0,True
Nineteen_side_codes,ContextF,R2,0.34621073137232605,0.3462107313723244,-1.6653345369377348e-15,True
Nineteen_side_codes,ContextF,MAE_sample,0.11024854462687085,0.11024854462687067,-1.8041124150158794e-16,True
Nineteen_side_codes,ContextF,MAE_block,0.11453720956496627,0.11453720956496649,2.220446049250313e-16,True
Nineteen_side_codes,ContextF,Hits_h11_k11,5,5,0,True
Nineteen_side_codes,ContextFC,R2,0.5328890101854888,0.5328890101854887,-1.1102230246251565e-16,True
Nineteen_side_codes,ContextFC,MAE_sample,0.08452519393884729,0.0845251939388475,2.0816681711721685e-16,True
Nineteen_side_codes,ContextFC,MAE_block,0.08895800675741998,0.08895800675742026,2.7755575615628914e-16,True
Nineteen_side_codes,ContextFC,Hits_h11_k11,6,6,0,True
Five_merged_blocks,Context,R2,0.24116689496486166,0.2411668949648631,1.4432899320127035e-15,True
Five_merged_blocks,Context,MAE_sample,0.11242262438090617,0.11242262438090592,-2.498001805406602e-16,True
Five_merged_blocks,Context,MAE_block,0.12488276355251868,0.1248827635525184,-2.7755575615628914e-16,True
Five_merged_blocks,Context,Hits_h11_k11,6,6,0,True
Five_merged_blocks,ContextF,R2,0.40528968768039864,0.4052896876803975,-1.1102230246251565e-15,True
Five_merged_blocks,ContextF,MAE_sample,0.10558237178930092,0.10558237178930087,-5.551115123125783e-17,True
Five_merged_blocks,ContextF,MAE_block,0.12291403741412239,0.12291403741412228,-1.1102230246251565e-16,True
Five_merged_blocks,ContextF,Hits_h11_k11,5,5,0,True
Five_merged_blocks,ContextFC,R2,0.5943383782422795,0.5943383782422784,-1.1102230246251565e-15,True
Five_merged_blocks,ContextFC,MAE_sample,0.07902515941296734,0.0790251594129672,-1.3877787807814457e-16,True
Five_merged_blocks,ContextFC,MAE_block,0.10102212621072792,0.10102212621072786,-6.938893903907228e-17,True
Five_merged_blocks,ContextFC,Hits_h11_k11,6,6,0,True
