Metal,Model,N,Blocks,R2,Spearman,MAE_sample,MAE_block
Fe,F,43,10,0.03283064541809344,0.16535789791603744,0.16193505635975944,0.17470615865416136
Zn,F,43,10,0.3127809225017666,0.6671700392630626,0.11370621371866373,0.10410811797245585
Cu,F,43,10,0.3520117437178034,0.5217456961643009,0.12402672926356378,0.1333343975130153
Cr,F,43,10,-0.028568327478639244,0.061159770462096044,0.13586824395521072,0.13385040357647268
Co,F,43,10,0.09840052872860272,0.22863183328299608,0.07128240721994149,0.07004821121301154
Ni,F,43,10,0.2037950262443965,0.44805194805194803,0.06567625225568062,0.07676967268996553
Mn,F,43,10,-0.018583364487681164,0.035336756266988824,0.1382513154482739,0.13872979600398078
Pb,F,43,10,0.30177898022352256,0.5974025974025975,0.0870098337988208,0.09167069367683706
Cd,F,43,10,-0.14410297715857712,-0.4435215946843854,0.24616187924440444,0.27195060524871784
Fe,C,43,10,0.2750859296650825,0.5344306855934763,0.13505100396463116,0.16006464661242106
Zn,C,43,10,0.0012011969724425864,0.20945333736031413,0.1465578413187053,0.12609740011458956
Cu,C,43,10,-0.09615159534485862,-0.029296285110238598,0.16091342983893187,0.1704568313645132
Cr,C,43,10,0.22988724884455902,0.4815765629719118,0.10967746431228928,0.10882953100018807
Co,C,43,10,0.2539827357657213,0.46949562065841133,0.06445964843897503,0.06209113323473734
Ni,C,43,10,0.34316544533295834,0.5943823618242223,0.053895820751999335,0.06804819555498745
Mn,C,43,10,0.28417760742883524,0.46723044397463,0.1167219630769272,0.13691399248862518
Pb,C,43,10,-0.003976213073499046,0.2520386590154032,0.10741792238808148,0.11486665497685145
Cd,C,43,10,-0.13808704882889478,-0.3944427665357898,0.24700156532653497,0.27488735862421054
Fe,Ffreq,43,10,0.05638967447714027,0.21262458471760795,0.15867807201545936,0.16551899252899377
Zn,Ffreq,43,10,0.4435690111358136,0.7307459981878587,0.10995252004308821,0.11291694501021513
Cu,Ffreq,43,10,0.268864663906762,0.5001510117789187,0.1330983896613052,0.13954097825633746
Cr,Ffreq,43,10,-0.12459292167144809,0.017366354575656905,0.14296201664390115,0.13882394128317516
Co,Ffreq,43,10,0.23734667585774705,0.3864391422530957,0.06589639312071323,0.06621573977210114
Ni,Ffreq,43,10,0.2120071412719794,0.4000302023557838,0.062252190437090134,0.07541483957059428
Mn,Ffreq,43,10,0.21114895597196448,0.43038356991845356,0.12064224290149961,0.12281717361202024
Pb,Ffreq,43,10,0.2067979576442095,0.509211718514044,0.09312496476403828,0.09734103452197106
Cd,Ffreq,43,10,-0.30486509324615185,-0.5721836303231652,0.2687037388897323,0.2888702870197855
Fe,Cfreq,43,10,0.2295963940049469,0.5810933252793717,0.14403045491795544,0.15398608150280665
Zn,Cfreq,43,10,0.08520943839296191,0.48384173965569316,0.1378481889923023,0.12655185556069076
Cu,Cfreq,43,10,-0.07110734934227558,0.25007550588945937,0.15943474849595657,0.17078294273522773
Cr,Cfreq,43,10,0.3434805277510792,0.5969495620658412,0.10393330282468607,0.09466061350480734
Co,Cfreq,43,10,0.13169090192947985,0.5320144971307762,0.066138064955783,0.06190621904677698
Ni,Cfreq,43,10,0.3305468563066144,0.5989127151917849,0.0558713527400923,0.06922800313102541
Mn,Cfreq,43,10,0.3003747821145425,0.6144669284204168,0.1114166898929339,0.1325679647613608
Pb,Cfreq,43,10,-0.041405108697508686,0.22244035034732706,0.11014376797145639,0.11813447646010547
Cd,Cfreq,43,10,-0.3319189043294486,-0.23890063424947144,0.2590782367468035,0.28015629226484723
Fe,FC,43,10,0.2607039075929908,0.5425853216550891,0.13747357387712222,0.16477530548458763
Zn,FC,43,10,0.3606965759786137,0.719420114768952,0.10865099649061713,0.10462994120481453
Cu,FC,43,10,0.48750181366204115,0.6235276351555422,0.11050293911631556,0.12133750009875095
Cr,FC,43,10,0.18966773822952943,0.5134400483237692,0.11099710298487203,0.11096624811727777
Co,FC,43,10,0.19056570815660256,0.42162488674116577,0.06871065558186396,0.06474712247715575
Ni,FC,43,10,0.32278712124661746,0.5839625490788282,0.05620447396124662,0.06970754856374929
Mn,FC,43,10,0.4054977418187876,0.6173361522198731,0.0990976489115412,0.1161826732903406
Pb,FC,43,10,0.31204744510775206,0.6192993053458169,0.08406497059156887,0.0929906378248253
Cd,FC,43,10,-0.2661515663067884,-0.459830866807611,0.25972503468528246,0.2845389405789049
Fe,Single4_G,43,10,0.09554373823776019,0.5105708245243129,0.1570665223020618,0.16021442480854636
Zn,Single4_G,43,10,0.3127809225017666,0.6671700392630626,0.11370621371866373,0.10410811797245585
Cu,Single4_G,43,10,0.25496596329885735,0.48520084566596194,0.1336217430284007,0.13791868186732625
Cr,Single4_G,43,10,0.3434805277510792,0.5969495620658412,0.10393330282468607,0.09466061350480734
Co,Single4_G,43,10,0.058666109626659635,0.4491090305043794,0.07021477242875798,0.07094854164416665
Ni,Single4_G,43,10,0.3334539569023126,0.5940803382663847,0.054473699230446836,0.0692906342836496
Mn,Single4_G,43,10,0.11927517820817979,0.3563877982482634,0.12427673905267515,0.1384455070620751
Pb,Single4_G,43,10,0.256376402292682,0.551344004832377,0.0883972176248201,0.09465356890273553
Cd,Single4_G,43,10,-0.14410297715857712,-0.4435215946843854,0.24616187924440444,0.27195060524871784
