Metal,Recovery_target,Reference,k_reference,k_FC,Assays_avoided,Max_extra_cost_per_sample_in_assay_units
Fe,0.8,Ffreq,33,22,11,0.2558139534883721
Fe,0.8,Cfreq,22,22,0,0.0
Fe,0.8,Single4_G,24,22,2,0.046511627906976744
Zn,0.8,Ffreq,13,15,-2,-0.046511627906976744
Zn,0.8,Cfreq,23,15,8,0.18604651162790697
Zn,0.8,Single4_G,15,15,0,0.0
Cu,0.8,Ffreq,15,12,3,0.06976744186046512
Cu,0.8,Cfreq,28,12,16,0.37209302325581395
Cu,0.8,Single4_G,18,12,6,0.13953488372093023
Cr,0.8,Ffreq,35,23,12,0.27906976744186046
Cr,0.8,Cfreq,20,23,-3,-0.06976744186046512
Cr,0.8,Single4_G,20,23,-3,-0.06976744186046512
Co,0.8,Ffreq,26,19,7,0.16279069767441862
Co,0.8,Cfreq,16,19,-3,-0.06976744186046512
Co,0.8,Single4_G,19,19,0,0.0
Ni,0.8,Ffreq,26,17,9,0.20930232558139536
Ni,0.8,Cfreq,19,17,2,0.046511627906976744
Ni,0.8,Single4_G,17,17,0,0.0
Mn,0.8,Ffreq,28,20,8,0.18604651162790697
Mn,0.8,Cfreq,21,20,1,0.023255813953488372
Mn,0.8,Single4_G,29,20,9,0.20930232558139536
Pb,0.8,Ffreq,28,19,9,0.20930232558139536
Pb,0.8,Cfreq,27,19,8,0.18604651162790697
Pb,0.8,Single4_G,24,19,5,0.11627906976744186
Cd,0.8,Ffreq,39,37,2,0.046511627906976744
Cd,0.8,Cfreq,40,37,3,0.06976744186046512
Cd,0.8,Single4_G,36,37,-1,-0.023255813953488372
