Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Fe,Ffreq,11,11,3,0.2727272727272727,0.2727272727272727,1.0661157024793386,2.813953488372093,0.5859976843699707
Zn,Ffreq,11,11,7,0.6363636363636364,0.6363636363636364,2.487603305785124,2.813953488372093,0.0022101570563329213
Cu,Ffreq,11,11,6,0.5454545454545454,0.5454545454545454,2.1322314049586772,2.813953488372093,0.01838464274081862
Cr,Ffreq,11,11,1,0.09090909090909091,0.09090909090909091,0.35537190082644626,2.813953488372093,0.9775687791295862
Co,Ffreq,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Ni,Ffreq,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Mn,Ffreq,11,11,3,0.2727272727272727,0.2727272727272727,1.0661157024793386,2.813953488372093,0.5859976843699707
Pb,Ffreq,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Cd,Ffreq,11,11,0,0.0,0.0,0.0,2.813953488372093,1.0
Fe,Cfreq,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Zn,Cfreq,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Cu,Cfreq,11,11,2,0.18181818181818182,0.18181818181818182,0.7107438016528925,2.813953488372093,0.85419706434231
Cr,Cfreq,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Co,Cfreq,11,11,6,0.5454545454545454,0.5454545454545454,2.1322314049586772,2.813953488372093,0.01838464274081862
Ni,Cfreq,11,11,7,0.6363636363636364,0.6363636363636364,2.487603305785124,2.813953488372093,0.0022101570563329213
Mn,Cfreq,11,11,6,0.5454545454545454,0.5454545454545454,2.1322314049586772,2.813953488372093,0.01838464274081862
Pb,Cfreq,11,11,3,0.2727272727272727,0.2727272727272727,1.0661157024793386,2.813953488372093,0.5859976843699707
Cd,Cfreq,11,11,1,0.09090909090909091,0.09090909090909091,0.35537190082644626,2.813953488372093,0.9775687791295862
Fe,FC,11,11,2,0.18181818181818182,0.18181818181818182,0.7107438016528925,2.813953488372093,0.85419706434231
Zn,FC,11,11,7,0.6363636363636364,0.6363636363636364,2.487603305785124,2.813953488372093,0.0022101570563329213
Cu,FC,11,11,8,0.7272727272727273,0.7272727272727273,2.84297520661157,2.813953488372093,0.00014708490269954068
Cr,FC,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Co,FC,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Ni,FC,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Mn,FC,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Pb,FC,11,11,6,0.5454545454545454,0.5454545454545454,2.1322314049586772,2.813953488372093,0.01838464274081862
Cd,FC,11,11,1,0.09090909090909091,0.09090909090909091,0.35537190082644626,2.813953488372093,0.9775687791295862
Fe,Single4_G,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Zn,Single4_G,11,11,8,0.7272727272727273,0.7272727272727273,2.84297520661157,2.813953488372093,0.00014708490269954068
Cu,Single4_G,11,11,7,0.6363636363636364,0.6363636363636364,2.487603305785124,2.813953488372093,0.0022101570563329213
Cr,Single4_G,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Co,Single4_G,11,11,6,0.5454545454545454,0.5454545454545454,2.1322314049586772,2.813953488372093,0.01838464274081862
Ni,Single4_G,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Mn,Single4_G,11,11,3,0.2727272727272727,0.2727272727272727,1.0661157024793386,2.813953488372093,0.5859976843699707
Pb,Single4_G,11,11,7,0.6363636363636364,0.6363636363636364,2.487603305785124,2.813953488372093,0.0022101570563329213
Cd,Single4_G,11,11,1,0.09090909090909091,0.09090909090909091,0.35537190082644626,2.813953488372093,0.9775687791295862
